Price,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Ticker,INFY.NS,M&M.NS,NTPC.NS,TCS.NS,INFY.NS,M&M.NS,NTPC.NS,TCS.NS,INFY.NS,M&M.NS,NTPC.NS,TCS.NS,INFY.NS,M&M.NS,NTPC.NS,TCS.NS,INFY.NS,M&M.NS,NTPC.NS,TCS.NS
Date,,,,,,,,,,,,,,,,,,,,
2021-04-05,1296.15771484375,737.0542602539062,88.62187194824219,2973.6787109375,1310.0395146244111,769.7455837043149,89.87241573098919,2995.8053432795637,1275.10512756776,732.1053402588735,86.49594497333443,2892.976597203158,1278.7824314684603,769.2697271295609,89.5389361168044,2911.3388732882304,9479572,4176802,15666099,5317862
2021-04-06,1297.215087890625,743.383056640625,88.41343688964844,2997.36669921875,1310.9589676626363,753.3760438877073,90.1225093619116,3006.82331814836,1292.986098217003,737.5776301417882,88.20501295201191,2965.5081885860163,1308.2009894697976,746.1430477821444,89.83071712133923,3006.82331814836,5793571,2984229,17393454,2291562
2021-04-07,1314.820068359375,757.8490600585938,87.9132308959961,3003.517578125,1319.186867085378,760.0379883692403,89.49725439226346,3009.1641128273545,1293.12399608098,737.9582929547756,87.74649425874479,2969.9147454929443,1296.4795585991292,743.5733648744385,89.12209377815053,2992.1330559729377,5879234,2271095,15692013,2491268
2021-04-08,1323.691650390625,756.754638671875,87.5380630493164,3045.705078125,1334.5856421303235,771.8392669548621,88.74691947099775,3061.909697961402,1306.3623760104808,754.7084324231881,87.28795175350913,2998.605792663912,1314.636310833911,763.273849689025,88.37175888788133,3002.2322975513594,5654434,3324494,11394998,2578118
2021-04-09,1324.794921875,752.9478149414062,85.70392608642578,3050.203857421875,1337.619476086655,762.3221654006009,88.33006262400026,3079.6754028187333,1314.682334770565,747.0947563538972,85.37044651258644,3037.12073454784,1337.619476086655,756.611887008087,88.33006262400026,3079.3539732991103,6052712,2065092,19751417,2911129
2021-04-12,1310.7291259765625,715.21240234375,82.57757568359375,2980.703125,1358.3502606257166,741.3845128752911,84.6201279519902,3064.7565086015848,1300.846370862238,702.8877059485781,81.74387984170222,2950.0839326857085,1355.0866082338791,741.3845128752911,84.6201279519902,3050.204311683323,20384532,4628388,20221362,3791828
2021-04-13,1284.4365234375,772.0772094726562,83.86980438232422,2849.871337890625,1319.4628265041147,777.5495594935718,84.32833966125342,2950.8179107609617,1264.0734272378734,714.546144156918,82.74431621474638,2821.409808570902,1317.3943427140891,717.5916375252792,83.03610850106733,2950.8179107609617,14855206,12501628,19192856,8654596
2021-04-15,1250.9730224609375,766.2241821289062,84.49507141113281,2955.363037109375,1256.1672375028172,769.8407383252481,85.87067080784337,2972.164568262181,1213.5104829310583,747.237552537896,82.78599876966346,2834.6310452253756,1224.8182391382504,766.1290340555107,84.37001576405105,2901.5157402746754,25342491,5256004,13865351,6062760
2021-04-16,1244.537841796875,781.9749755859375,85.41214752197266,2933.51171875,1260.2582973540325,797.3926790432631,85.78731451578027,2981.1160170589364,1237.9646370300627,764.41585988404,83.78644296392567,2921.989567913884,1254.8802615347993,766.2240796524187,84.95361856589045,2964.589965840254,10879878,6915568,14654851,3224657
2021-04-19,1252.6279296875,756.5642700195312,82.57757568359375,2902.892333984375,1268.3942838743944,768.0324001891518,83.70306379802841,2927.8649851711098,1224.8642117570594,747.1898620045998,82.24409607471824,2878.378739709709,1231.897079468662,747.1898620045998,83.3695841891529,2909.502708688381,12508028,4317341,11652043,2679106
2021-04-20,1242.3314208984375,771.9820556640625,82.57757568359375,2887.0556640625,1267.7508124245333,781.5467600988791,84.11991171897418,2961.239326272837,1234.1034964101818,761.8938625868603,81.82724815377247,2870.3460327001358,1267.7508124245333,768.9841363527532,82.70262497140187,2960.917896686487,8560766,4830957,16528675,3141893
2021-04-22,1242.1015625,761.0848999023438,82.49419403076172,2863.41357421875,1254.6963983285668,765.9861870136423,83.16115319207863,2890.2224543146344,1236.631616692193,747.5705636459595,80.91017715367349,2850.973086486823,1246.1926312789506,756.6118371719132,81.74387292502264,2890.2224543146344,6622446,4576665,18614270,1988980
2021-04-23,1226.1971435546875,740.3375854492188,85.49551391601562,2854.875,1239.6192815844272,766.6999897737255,85.87067451285333,2863.597081524361,1223.6229856980603,736.7210294835312,81.70219516756917,2837.9358443956244,1234.6548984166004,757.5635679680857,81.70219516756917,2850.743487698987,7316262,4796085,29484794,1615309
2021-04-26,1235.16064453125,742.81201171875,85.37044525146484,2846.887451171875,1242.285421910006,754.9939267507431,86.6626698351866,2894.8129489798225,1214.429795785383,738.1962268093623,84.07821430714937,2835.1814996655344,1224.7722145609966,742.3361552090006,86.6626698351866,2848.0350934764183,7088606,3528851,24369413,2490260
2021-04-27,1239.7113037109375,740.8134765625,85.07865905761719,2875.53271484375,1243.8482713540218,749.9023247589837,86.3292027594307,2879.297071467186,1232.0349528621446,739.4810550299663,84.78686043871869,2848.90741192853,1237.4129883536684,743.287907308113,85.07865905761719,2851.661753609415,3636115,3624649,17763436,1471417
2021-04-28,1246.606201171875,744.3348388671875,86.37088775634766,2868.280029296875,1249.823842546581,762.8932454788692,86.66268002824386,2892.9772061704643,1236.1258611069184,741.241771098574,85.16203133252294,2857.1707602673705,1248.4448533859927,748.0465434247085,85.74561587631533,2892.0131416432882,4879234,5214319,15160578,1639037
2021-04-29,1246.927978515625,737.1969604492188,85.91234588623047,2860.154296875,1258.5574765469028,753.8043660318154,87.53804998456353,2898.806981317783,1242.3773590445473,731.4866817219964,85.57886632845629,2851.202686444206,1257.6381504135595,749.9499395085322,87.20457042678935,2888.0191431063135,5412357,3642323,11588556,1621395
2021-04-30,1245.08935546875,716.2116088867188,85.41214752197266,2787.072509765625,1263.06222668637,740.8134248703601,88.07997837797723,2875.5788286255647,1237.3210943486652,714.2130348153297,85.078674230493,2772.7041161741554,1237.6888472551184,731.2962948390757,85.24541087623282,2845.2351178886447,8354677,4466148,15321193,3072305
2021-05-03,1242.974853515625,716.5923461914062,86.91278839111328,2788.311767578125,1251.2027769245813,729.5356203201982,87.20458065316124,2804.837816908519,1230.058277388016,704.315224721279,84.24496433725447,2758.014010472403,1232.632435264044,708.9310678251745,84.53675659930242,2777.2025003131375,4560337,3749870,12186212,1545831
2021-05-04,1222.1522216796875,705.3621215820312,86.49594116210938,2800.017822265625,1245.6409377751884,725.8715253585913,88.41344408873603,2836.9719061564983,1217.2797481342182,695.797359347808,86.28751720750188,2786.4756424546836,1244.7676228106382,722.3501755990817,86.95447640648358,2811.999253301017,4887060,3820769,12992684,1990777
2021-05-05,1233.2760009765625,711.4530639648438,86.62100219726562,2842.20458984375,1235.4824061287213,712.8330594759459,88.07996997030708,2845.601565768022,1220.6812779092318,701.745579441172,85.70393801204422,2802.4502210544983,1232.908248080798,707.2655614855809,87.32964241490967,2818.6091121386794,3939788,3102424,14956169,1939289
2021-05-06,1251.75439453125,711.310302734375,85.91234588623047,2856.66552734375,1254.6042829949797,722.8260065288179,87.62141828385869,2877.369041183965,1229.5067478141586,710.1206615123065,85.57886632845629,2822.2822056794857,1236.4936037252962,715.2123027075795,87.53804998456353,2851.202794319337,4810090,3662506,13547274,1791671
2021-05-07,1243.4346923828125,730.3446044921875,87.57975006103516,2876.35888671875,1262.2808794173943,734.7224612072044,87.95491064276176,2901.1022351187175,1239.7113763967623,714.7364875215162,86.16246332436857,2856.9868183284616,1255.1561013921257,715.688200554168,86.70436688954715,2876.450787766364,4991435,4833670,13229291,1912540
2021-05-10,1231.4832763671875,742.764404296875,89.78905487060547,2887.9267578125,1243.7562569014906,745.952619533699,90.03916620987113,2905.095439853207,1227.3463090709672,731.5342027891969,88.03829457753265,2869.10542621652,1240.952267511751,734.7224180260209,88.37177424302166,2888.339864164103,7195348,2095644,23980945,2137153
